09-14 20:34:41.644 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13607 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:42.641 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -70 -69 -64 -59 -58 -58 -65 -60 -50 -64 -75 -69 -60 -52 -55 -60 -50 -65 -75 -67 -69 -76 -74 -80 -79 -72 -71 -81 -80 -75 -78 -74 
09-14 20:34:42.646 21801  4840 I wDSP_SpectrumEngine: POWER32 -107 -106 -90 -87 -79 -77 -85 -79 -63 -77 -80 -70 -61 -51 -57 -63 -47 -60 -76 -70 -72 -74 -73 -74 -75 -66 -70 -79 -79 -77 -78 -79 
09-14 20:34:42.646 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:42.647 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:42.647 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13701 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:43.644 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -58 -57 -58 -58 -57 -56 -67 -60 -75 -69 -88 -71 -79 -57 -54 -46 -51 -61 -75 -68 -70 -74 -75 -81 -77 -71 -79 -79 -79 -88 -74 -78 
09-14 20:34:43.649 21801  4840 I wDSP_SpectrumEngine: POWER32 -97 -96 -91 -86 -78 -74 -85 -78 -71 -79 -87 -73 -65 -58 -56 -48 -48 -61 -80 -67 -69 -76 -71 -75 -72 -65 -71 -78 -79 -78 -76 -81 
09-14 20:34:43.649 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:43.649 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:43.649 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13795 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:44.645 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -66 -65 -59 -60 -56 -55 -66 -62 -54 -66 -84 -70 -63 -53 -53 -53 -53 -55 -63 -67 -72 -59 -38 -65 -67 -65 -60 -67 -80 -81 -74 -73 
09-14 20:34:44.648 21801  4840 I wDSP_SpectrumEngine: POWER32 -94 -93 -86 -89 -78 -72 -86 -82 -65 -74 -85 -71 -63 -52 -53 -53 -48 -54 -63 -67 -70 -64 -34 -60 -63 -61 -64 -76 -79 -78 -77 -79 
09-14 20:34:44.648 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:44.648 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:44.648 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13889 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
