09-14 20:32:41.665 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:41.666 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2357 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:42.673 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -65 -64 -65 -55 -45 -47 -43 -28 -32 -40 -54 -42 -32 -27 -27 -31 -33 -31 -29 -29 -31 -33 -34 -36 -35 -33 -32 -30 -29 -28 -25 -27 
09-14 20:32:42.677 21801  4840 I wDSP_SpectrumEngine: POWER32 -98 -97 -93 -79 -69 -65 -66 -44 -45 -51 -60 -43 -33 -30 -29 -32 -33 -31 -29 -28 -33 -33 -32 -31 -36 -34 -34 -36 -35 -35 -34 -37 
09-14 20:32:42.677 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:42.677 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:42.678 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2455 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:43.686 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -61 -60 -63 -59 -47 -40 -38 -32 -35 -37 -51 -43 -33 -27 -27 -30 -32 -31 -29 -30 -33 -33 -35 -36 -35 -32 -32 -31 -29 -27 -25 -27 
09-14 20:32:43.691 21801  4840 I wDSP_SpectrumEngine: POWER32 -96 -95 -91 -86 -71 -57 -54 -49 -51 -47 -56 -44 -34 -27 -27 -32 -32 -32 -30 -32 -34 -33 -32 -31 -32 -30 -34 -35 -35 -34 -33 -38 
09-14 20:32:43.691 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:43.691 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:43.691 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2549 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:44.697 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -63 -62 -58 -55 -45 -41 -38 -33 -35 -36 -50 -38 -33 -26 -27 -31 -34 -31 -30 -29 -30 -32 -34 -36 -35 -34 -31 -30 -29 -27 -25 -27 
09-14 20:32:44.702 21801  4840 I wDSP_SpectrumEngine: POWER32 -105 -104 -90 -85 -66 -58 -55 -50 -51 -49 -58 -43 -34 -29 -29 -31 -36 -32 -33 -28 -30 -34 -30 -30 -33 -35 -33 -34 -35 -35 -34 -37 
09-14 20:32:44.702 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
